MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
242964,174070,1838482000000,Lékárna Varnsdorf s.r.o.,Lékárna,Varnsdorf,40747,Legií,1954,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,,1838482,2,112,CZ010,CZ0100,Praha 5,15000,Viktora Huga,377/4,praktické lékárenství,,lékárenská péče,Petr Friese,50.911862904682,14.622702828604
242840,173972,26384523017000,"LÉKÁRNÍCI 95 s.r.o., Lékárna BONATE",Lékárna,Most,43401,J. A. Komenského,311/1b,Ústecký kraj,CZ042,Most,CZ0425,,420352686754,420354693143,kancelar@lekarnici95.cz,http://www.bonate.cz,26384523,2,112,CZ041,CZ0411,Cheb,35002,Františkánské náměstí,34/8,praktické lékárenství,,lékárenská péče,Petr Koudelka,50.489793915533,13.651282918089
242602,173764,26384523016000,"LÉKÁRNÍCI 95 s.r.o., Lékárna BONATE",Lékárna,Petrovice,40337,,626,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420352686754,420354693143,kancelar@lekarnici95.cz,http://www.bonate.cz,26384523,2,112,CZ041,CZ0411,Cheb,35002,Františkánské náměstí,34/8,praktické lékárenství,,lékárenská péče,Petr Koudelka,50.786164382098,13.980330243763
241466,172805,3967883000000,Pharmaland s.r.o.,Lékárna,Teplice,41501,Plynárenská,280,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,,3967883,2,112,CZ042,CZ0426,Teplice,41501,Plynárenská,280,praktické lékárenství,,lékárenská péče,Elia H S Liddawieh,50.635423064952,13.842245948727
240721,162155,9852123000000,"Pharma Most s.r.o., Lékárna Topolová",Lékárna,Most,43401,Topolová,1234,Ústecký kraj,CZ042,Most,CZ0425,,,,,,9852123,2,112,CZ010,CZ0100,Praha 4,14900,Chomutovická,1444/2,praktické lékárenství,,lékárenská péče,Luděk Poláček,50.497217046878,13.650265371038
240620,162056,28511298531000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Chomutov,43003,Černovická,5430,Ústecký kraj,CZ042,Chomutov,CZ0422,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.456869527344,13.3924215853
240509,161966,49621173272000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Chomutov,43001,Žižkovo náměstí,5762,Ústecký kraj,CZ042,Chomutov,CZ0422,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.460879054169,13.415316908977
240234,161725,27576671002000,"REAL FORTE a.s., Lékárna BENEFIT u Gymnázia",Lékárna,Litvínov,43601,Studentská,999,Ústecký kraj,CZ042,Most,CZ0425,,420476101028,,l.benefit@centrum.cz,http://www.lekarnabenefit.cz,27576671,2,121,CZ010,CZ0100,Praha 8,18000,Srbova,360/1,praktické lékárenství,,lékárenská péče,PharmDr. Anna Žižková,50.598011172466,13.609418382533
239952,161444,28511298523000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max. Lékárna",Lékárna,Štětí,41108,9. května,403,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,specializovaná ambulantní péče,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.454907519801,14.375373880724
239951,161443,28511298522000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Roudnice nad Labem,41301,Alej 17. listopadu,1101,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.423032219377,14.249737168889
239508,161071,49621173261000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Louny,44001,Václava Majera,2898,Ústecký kraj,CZ042,Louny,CZ0424,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.353177841108,13.815948550229
239422,161002,28511298520000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Most,43401,Moskevská,508,Ústecký kraj,CZ042,Most,CZ0425,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.507737872209,13.656653618544
228031,139743,9269495000000,"Mgr. Pavlína Grubrová, Lékárna Bynov",Lékárna,Děčín,40505,Jindřichova,337,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,,9269495,1,,CZ042,CZ0421,Děčín,40502,Thunská,1021/28,praktické lékárenství,,lékárenská péče,Pavlína Grubrová,50.78239245698,14.156627225971
227873,139609,49621173244000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Ústí nad Labem,40001,Okružní,3368/7,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.662936966935,14.021803135224
227344,139181,49621173237000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Most,43401,tř. Budovatelů,2957/108,Ústecký kraj,CZ042,Most,CZ0425,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.505051251755,13.63938178919
227273,139134,9239723000000,"ALLETAB, s.r.o., Lékárna Neštěmice",Lékárna,Ústí nad Labem,40331,Mlýnská,558,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,,,9239723,2,112,CZ042,CZ0423,Ploskovice,41142,,99,praktické lékárenství,,lékárenská péče,Aleš Borský,50.674887405267,14.105594001104
226009,138067,8593752000000,"Mgr. Jan Zvolánek, Lékárna",Lékárna,Jílové,40701,Mírové nám.,220,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,,8593752,1,,CZ042,CZ0421,Děčín,40502,Prokopa Holého,114/27,praktické lékárenství,,lékárenská péče,Jan Zvolánek,50.761715661854,14.10412429946
225451,137653,22802231002000,"Lékárna U Hedviky s.r.o., Lékárna Na Radnici",Lékárna,Benešov nad Ploučnicí,40722,náměstí Míru,1,Ústecký kraj,CZ042,Děčín,CZ0421,,420487861136,,info@lekarnauhedviky.cz,http://www.lekarnauhedviky.cz,22802231,2,112,CZ051,CZ0511,Žandov,47107,Nádražní,11,,,lékárenská péče,Michaela Bažantová,50.741742781446,14.31130188575
225372,137602,28511298495000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Lovosice,41002,Osvoboditelů,39/17,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.514558397581,14.051600820886
151422,137547,27288790000000,"Lékárna Petrovice s.r.o., Zubní klinika","Ostatní ambulantní zařízení, Samostatná ordinace PL - stomatologa, Lékárna",Petrovice,40337,,118,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420475205023,,lekpetro@seznam.cz,http://www.zubni-klinika-pohotovost.cz,27288790,2,112,CZ042,CZ0427,Petrovice,40337,,118,"praktické lékárenství, zubní lékařství",primární ambulantní péče,,"Dr.med.dent. Jaroslava Bláhová, Mgr. Daniela Bajerová",50.805189892189,13.979904796571
225066,137263,25011758001000,Lékárna U Českého lva Roudnice nad Labem s.r.o.,Lékárna,Roudnice nad Labem,41301,Komenského,970,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,,25011758,2,112,CZ042,CZ0423,Roudnice nad Labem,41301,Komenského,970,praktické lékárenství,,lékárenská péče,Zuzana Langerová,50.4239302301,14.254275825766
225049,137251,6154743004000,"Aproklan s.r.o., Lékárna Poliklinika",Lékárna,Louny,44001,Pod Nemocnicí,2503,Ústecký kraj,CZ042,Louny,CZ0424,,,,Jiri.Kraft@mistnilekarna.cz,,6154743,2,112,CZ010,CZ0100,Praha 3,13000,Hartigova,1604/144,praktické lékárenství,,lékárenská péče,Jan Ponec,50.349909061548,13.808241706751
224693,136907,8022216000000,Lékárna Alba Dubí s.r.o.,Lékárna,Dubí,41701,Krušnohorská,41/15,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,http://www.lekarna-dubi.cz,8022216,2,112,CZ042,CZ0426,Dubí,41701,Krušnohorská,41/15,praktické lékárenství,,lékárenská péče,Kateřina Kozáková,50.676804661498,13.793192719164
224625,136896,28511298476000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Louny,44001,Pod Nemocnicí,2377,Ústecký kraj,CZ042,Louny,CZ0424,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.351402965784,13.808777395832
223807,136115,28511298468000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Teplice,41501,Čs. dobrovolců,3356,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.638885927906,13.819926130348
223553,135885,4615930000000,"zooplus SE, odštěpný závod CZ, Lékárna",Lékárna,Jiříkov,40753,Mánesova,1084/50,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,http://www.zooplus.de,4615930,2,421,CZ010,CZ0100,Praha 1,11000,Vodičkova,710/31,praktické lékárenství,,lékárenská péče,Jiří Tejnecký,50.998810866205,14.565180095274
222865,135240,49621173216000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Louny,44001,Náměstí Benedikta Rejta,2298,Ústecký kraj,CZ042,Louny,CZ0424,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.358068438156,13.786725924396
222611,135007,5657016000000,"Lékárna S+M s.r.o., Lékárna U Divadla",Lékárna,Ústí nad Labem,40001,Masarykova,1297/8,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,lek.udivadla@lekarnaudivadla.cz,,5657016,2,112,CZ020,CZ0209,Sedlec,25065,,107,praktické lékárenství,,lékárenská péče,Mgr. SIMONA MAHNEROVÁ,50.660908242001,14.035155958998
222351,134756,49621173208000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Teplice,41501,Benešovo náměstí,424/9,Ústecký kraj,CZ042,Teplice,CZ0426,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,,lékárenská péče,Radek Machan,50.642324141357,13.82696407739
210591,133172,28511298440000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Žatec,43801,Husova,3078,Ústecký kraj,CZ042,Louny,CZ0424,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.31423121792,13.532759086222
151917,133164,25425722000000,"Stellart s.r.o, IVF klinika","Centrum asistované reprodukce, Samostatná ordinace PL - gynekologa, Samostatná ordinace lékaře specialisty, Lékárna",Teplice,41501,Krupská,12/17,Ústecký kraj,CZ042,Teplice,CZ0426,,420417539903,,info@stellart.cz,http://www.stellart-clinic.cz,25425722,2,112,CZ042,CZ0426,Teplice,41501,Krupská,12/17,"praktické lékárenství, gynekologie a porodnictví, anesteziologie a intenzivní medicína","primární ambulantní péče, specializovaná ambulantní péče",lékárenská péče,"Dagmar Adamčiaková, Jindřich Koudela",50.64125027009,13.825636874285
210406,133082,29155070000000,"Urtica Pharm s.r.o., Lékárna Na náměstí",Lékárna,Chomutov,43001,náměstí 1. Máje,11/14,Ústecký kraj,CZ042,Chomutov,CZ0422,,,,,,29155070,2,112,CZ010,CZ0100,Praha 10,10100,Černomořská,454/12,praktické lékárenství,,lékárenská péče,Dominika Králiková,50.460533899446,13.419008381019
210493,133081,28570481017000,"Sanovia, a.s., Lékárna U Zlaté koruny",Lékárna,Jirkov,43111,Červenohrádecká,1559,Ústecký kraj,CZ042,Chomutov,CZ0422,,420597575211,,info@mojelekarna.cz,www.mojelekarna.cz,28570481,2,121,CZ080,CZ0806,Ostrava,71600,Těšínská,1349/296,praktické lékárenství,,lékárenská péče,Martina Obrtelová,50.502024295413,13.445582380348
210189,132801,28511298437000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Ústí nad Labem,40001,Revoluční,456/28,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.659696392297,14.037072761935
209948,132692,25488627010009,"Krajská zdravotní, a.s., lékárna",Lékárna,Ústí nad Labem,40001,V Podhájí,500/23,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420477114126,,,www.kzcr.eu,25488627,2,121,CZ042,CZ0427,Ústí nad Labem,40011,Sociální péče,3316/12,,,lékárenská péče,"ALEŠ CHODACKI, EVA VAŇKOVÁ, Irena Voříšková, JIŘÍ BOROVEC, Jiří Štverák, MARKÉTA RUFFEROVÁ, Michal Hanauer, OLGA MUČICOVÁ, Petra Bradáčová, Tomáš Hrubý, Věra Buriánová, Zuzana Koštůrová",50.676789019564,14.010921154265
209487,132280,27279847001000,"Lazaret s.r.o., Lékárna U Matky Boží",Lékárna,Litoměřice,41201,Velká Krajská,52/2,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416532366,,nadkaplickou@seznam.cz,http://www.vaselekarny.cz,27279847,2,112,CZ042,CZ0423,Litoměřice,41201,Palachova,779/9,praktické lékárenství,,lékárenská péče,Brabcová Lenka,50.534799180022,14.130008351033
209433,132243,28511298429000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Varnsdorf,40747,Československé mládeže,3500,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.913245840592,14.612230250619
208562,131683,25010450001000,"Alfapharm s.r.o., Lékárna Omega",Lékárna,Duchcov,41901,Zelenkova,539/19,Ústecký kraj,CZ042,Teplice,CZ0426,,420417836291,,lekarna_alfa@volny.cz,,25010450,2,112,CZ042,CZ0426,Novosedlice,41731,Sokolská,314/13,praktické lékárenství,ambulantní péče,lékárenská péče,Mgr. Jana Trägnerová,50.606908711584,13.746505341642
208188,131407,28511298414000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Teplice,41510,Srbická,464,Ústecký kraj,CZ042,Teplice,CZ0426,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,ambulantní péče,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.661042728887,13.863701193782
206971,130562,25998358000000,Lékárna Most s.r.o.,Lékárna,Most,43401,Rudolická,1706/4,Ústecký kraj,CZ042,Most,CZ0425,,420494942111,,most@ipcnet.cz,http://www.ipcgroup.cz/,25998358,2,112,CZ052,CZ0521,Hradec Králové,50012,Brněnská,315/4,praktické lékárenství,,lékárenská péče,Ivana Rýdlová,50.510653307243,13.651239812281
206487,130187,28511298408000,"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna",Lékárna,Rumburk,40801,Třída 9. května,1386/50,Ústecký kraj,CZ042,Děčín,CZ0421,,,,,http://www.drmax.cz,28511298,2,121,CZ064,CZ0642,Brno,60200,Nové sady,996/25,praktické lékárenství,ambulantní péče,lékárenská péče,"Dominika Fischer, Hana Götzlová, Ivana Bambasová, Jiří Binder, Jozef Kaštely, Kamila Sotáková, Karel Struha, Marek Sekula, Markéta Blechová, Markéta Dúžková, Martina Kožíšková, Martina Starková, Petr Myslivec, Petra Průšová, René Šoštý, Sekula Marek, Tibor Kirsch",50.954925201566,14.552972706344
205887,129638,49621173181000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Teplice,41501,náměstí Svobody,3312,Ústecký kraj,CZ042,Teplice,CZ0426,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,ambulantní péče,lékárenská péče,Radek Machan,50.640609918103,13.824444234567
205886,129637,49621173180000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Most,43401,Velebudická,3270,Ústecký kraj,CZ042,Most,CZ0425,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,ambulantní péče,lékárenská péče,Radek Machan,50.48595225338,13.655512357593
205885,129635,49621173179000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Roudnice nad Labem,41301,Alej 17. listopadu,2720,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,ambulantní péče,lékárenská péče,Radek Machan,50.424224859095,14.237441915872
205884,129633,49621173178000,"BENU Česká republika s.r.o., BENU lékárna",Lékárna,Litvínov,43601,Žižkova,151,Ústecký kraj,CZ042,Most,CZ0425,,420212812812,420212812812,info@benu.cz,http://www.benu.cz,49621173,2,112,CZ010,CZ0100,Praha 15,10200,K pérovně,945/7,praktické lékárenství,ambulantní péče,lékárenská péče,Radek Machan,50.602328000871,13.614006340312
